File,Output_folder,Experiment,MS_Plate,Fraction,Parameter_group,PTM,Reference_channel,File_order,Compound_order,Project,Comments
4509_G03_051594_S00_I00_U03_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,3,1,TRUE,,3,,Patients,
4509_G04_051594_S00_I00_U04_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,4,1,TRUE,,4,,Patients,
4509_G05_051594_S00_I00_U05_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,5,1,TRUE,,5,,Patients,
4509_G06_051594_S00_I00_U06_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,6,1,TRUE,,6,,Patients,
4509_G07_051594_S00_I00_U07_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,7,1,TRUE,,7,,Patients,
4509_G08_051594_S00_I00_U08_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,8,1,TRUE,,8,,Patients,
4509_G09_051594_S00_I00_U09_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,9,1,TRUE,,9,,Patients,
4509_G10_051594_S00_I00_U10_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,10,1,TRUE,,10,,Patients,
4509_G11_051594_S00_I00_U11_TMT11_R2,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,11,1,TRUE,,11,,Patients,
4509_G12_051594_S00_I00_U12_TMT11_R1,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4509_G12_051594_S00_I00_U12_TMT11_R2,Batch10_PP_MASTER,Batch10_PP_MASTER,4509,12,1,TRUE,,12,,Patients,
4508_E10_051595_S00_U10_TMT11_R1,Batch11_var_MASTER,Batch11_var_MASTER,4508,10,0,FALSE,,10,,Patients,
4508_H09_051595_S00_U40_TMT11_R1,Batch11_var_MASTER,Batch11_var_MASTER,4508,40,0,FALSE,,40,,Patients,
4509_H01_051595_S00_I00_U01_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,1,1,TRUE,,1,,Patients,
4509_H02_051595_S00_I00_U02_TMT11_R1,Batch11_PP_MASTER,Batch11_PP_MASTER,4509,2,1,TRUE,,2,,Patients,
